					Vishwakarma Institute Of Information technology


							Student Wallet EpassBook

transaction_date 	 transaction_type 	to	  	 Credit_amount 	 Debit_amount
2023-04-27 13:57:28 	  transfer 		22110255		  		 1
2023-04-27 13:56:19 	  transfer 		22110669		  		 123
2023-04-26 10:42:45 	  transfer 		22110669		  		 102
2023-04-26 10:41:25 	  transfer 		22110669		  		 122
2023-04-26 10:39:47 	  transfer 		22110669		  		 1120
2023-04-26 10:38:17 	  transfer 		22110669		  		 102
2023-04-25 12:06:57 	  transfer 		22110669		  		 110
2023-04-25 11:55:27 	  transfer 		22110669		  		 100
2023-04-25 11:53:21 	  transfer 		22110669		  		 120
2023-04-25 11:50:41 	  transfer 		22110173		  		 105
2023-04-25 11:45:27 	  transfer 		22110669		  		 10
2023-04-25 11:41:56 	  transfer 		22110669		  		 10
2023-04-25 11:40:58 	  transfer 		22110669		  		 10
2023-04-25 11:39:57 	  transfer 		22110173		  		 10
2023-04-25 11:39:26 	  transfer 		22110173		  		 10
2023-04-25 11:36:50 	  transfer 		22110669		  		 10
2023-04-25 11:11:04 	  transfer 		22110669		  		 150
2023-04-20 12:12:51 	  transfer 		22110373		  		 5000
2023-04-19 11:44:13 	  deposit 		479		 10000 		 
2023-04-19 11:41:13 	  transfer 		22110173		  		 49
2023-04-19 11:35:31 	  withdraw 		012		  		 5000
2023-04-19 11:30:48 	  transfer 		22110669		  		 5000
2023-04-17 16:56:59 	  transfer 		22110941		  		 5000
2023-04-17 15:50:25 	  transfer 		22110941		  		 1500
2023-04-17 15:27:46 	  deposit 		13468		 10000 		 
2023-04-17 15:25:53 	  transfer 		22110173		  		 3
2023-04-17 15:16:38 	  transfer 		22110381		  		 5
